downsampling_rate,frame_lenght_in_s,dbFSthresh,duration_time,accuracy,latency
16000.0,0.0004,-130.0,0.1,0.9788888888888889,9.534769323137072
16000.0,0.0004,-130.0,0.15,0.9633333333333334,9.478783077663845
16000.0,0.0004,-130.0,0.2,0.9511111111111111,9.467845227983263
16000.0,0.0004,-130.0,0.05,0.9711111111111111,9.368046919504803
16000.0,0.0004,-130.0,0.01,0.88,9.457224210103353
16000.0,0.0004,-130.0,0.005,0.88,9.449167516496447
16000.0,0.0004,-120.0,0.1,0.9744444444444444,9.401585790846083
16000.0,0.0004,-120.0,0.15,0.9444444444444444,9.401395585801867
16000.0,0.0004,-120.0,0.2,0.9066666666666666,9.502865473429363
16000.0,0.0004,-120.0,0.05,0.9844444444444445,9.477998945448133
16000.0,0.0004,-120.0,0.01,0.9855555555555555,9.545557234022354
16000.0,0.0004,-120.0,0.005,0.9855555555555555,9.537049399481878
16000.0,0.0004,-110.0,0.1,0.9433333333333334,9.640460014343262
16000.0,0.0004,-110.0,0.15,0.8922222222222222,9.480102592044407
16000.0,0.0004,-110.0,0.2,0.8155555555555556,9.454110198550755
16000.0,0.0004,-110.0,0.05,0.9733333333333334,9.537262916564941
16000.0,0.0004,-110.0,0.01,0.9833333333333333,9.535518222384983
16000.0,0.0004,-110.0,0.005,0.9833333333333333,9.384439521365696
16000.0,0.0004,-100.0,0.1,0.89,9.417705535888672
16000.0,0.0004,-100.0,0.15,0.8122222222222222,9.44930871327718
16000.0,0.0004,-100.0,0.2,0.7144444444444444,9.469304349687365
16000.0,0.0004,-100.0,0.05,0.9366666666666666,9.479635821448433
16000.0,0.0004,-100.0,0.01,0.9744444444444444,9.512075848049587
16000.0,0.0004,-100.0,0.005,0.9766666666666667,9.404388533698187
16000.0,0.0004,-90.0,0.1,0.8011111111111111,9.514101876152887
16000.0,0.0004,-90.0,0.15,0.6888888888888889,9.50328509012858
16000.0,0.0004,-90.0,0.2,0.5522222222222222,9.478370613522001
16000.0,0.0004,-90.0,0.05,0.8788888888888889,9.50386577182346
16000.0,0.0004,-90.0,0.01,0.9466666666666667,9.516059027777777
